Date,Steps,Sleep_Hours,Heart_Rate_bpm,Calories_Burned,Active_Minutes
2025-01-01,9741.785382528082,6.718535433736997,69.95845255097682,2984.0,
2025-01-02,8154.339247072038,7.4689109781725005,58.21627222384968,2808.0,179.0
2025-01-03,10119.221345251732,7.215110880938154,72.08252755714472,3029.0,158.0
2025-01-04,12307.574641020063,7.3172113182585985,50.9741639576216,2835.0,168.0
2025-01-05,7914.61656319166,6.27238825937344,78.29155637325644,2289.0,71.0
2025-01-06,7914.6576076270485,7.229412209110731,72.72597482413043,2075.0,136.0
2025-01-07,12448.032038768479,7.7975979494945395,70.56029734313876,4089.0,45.0
2025-01-08,10418.586822882273,8.94137232935405,77.82690983945514,3039.0,53.0
2025-01-09,7326.31403516262,8.351124991302248,84.65474444462576,3074.0,71.0
2025-01-10,9856.400108964912,9.5,78.1437006501813,1925.0,131.0
2025-01-11,7341.455767968844,6.279182924534341,49.59125768668355,,101.0
2025-01-12,7335.675616074358,8.246784764064813,55.204230332642986,3008.0,176.0
2025-01-13,9104.905678915085,7.420010406886022,61.75181422304321,3046.0,61.0
2025-01-14,3716.7993883555055,9.5,68.26091050210833,2718.0,
2025-01-15,4187.705418717418,6.230042057573819,73.17659020469122,3117.0,61.0
2025-01-16,7094.281176897568,6.192333789383069,60.742561868465344,3998.0,160.0
2025-01-17,5967.922199163941,6.480728825467174,69.86766764477078,3461.0,132.0
2025-01-18,9285.618331488186,4.651325130828232,60.44617067646678,,124.0
2025-01-19,6229.939811196973,6.569093973983087,61.884821970080516,3159.0,36.0
2025-01-20,4969.2407466617715,6.289040806135563,53.93338903151778,3769.0,139.0
2025-01-21,12164.121922303886,7.380472543771449,58.76766753889096,2691.0,156.0
2025-01-22,7935.559248783661,7.610107170932592,54.48315394383666,2174.0,148.0
2025-01-23,8668.82051171981,9.451405007059064,58.241267470226674,3833.0,149.0
2025-01-24,4938.129534466358,8.34050860582326,78.5364179660784,3164.0,
2025-01-25,7139.043188687043,6.507715613205116,58.50601111168057,1928.0,67.0
2025-01-26,8777.306474274665,6.121902394381971,94.32382064837391,2814.0,48.0
